,country,tree_cover,tree_cover_%_2000,tree_cover_loss_2014,cover_gain,forest_type_nat,forest_type_pri,forest_type_pla,loss_outside_plant,loss_outside_plant_%,certified_forest,total_economy,percentage_economy,employment,reforestation_rate_10,carbon,GHG_emissions,conventions
0,HUN,2MHa,22,"11,098","134,948",20%,,80%,,,"320,963 ha ",USD 1.0 billion,0.9% of the GDP.,"56 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",14.2 kha/year,122 million metric tons of carbon stocks,5.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,ISL,13KHa,23,36,291,,,,,,,,,,,,,[]
2,IND,39MHa,12,"112,653","255,029",61%,22%,17%,,,"452,734 ha ",USD 31.0 billion,1.7% of the GDP.,"707 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"2,923 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,IDN,161MHa,86,"1,490,457","6,970,546",44%,51%,5%,"537,294 ha",47%,"1,930,169 ha ",USD 14.0 billion,1.7% of the GDP.,"445 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",866.74 kha/year,"12,477 million metric tons of carbon stocks",61.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,IRN,2MHa,1,77,"1,136",89%,2%,9%,,,0 ha ,USD 1.2 billion,0.2% of the GDP.,"35 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",37.777 kha/year,163 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,IRQ,18KHa,0,1,292,98%,,2%,,,0 ha ,USD 21.9 million,0.01% of the GDP.,"5 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,IRL,842KHa,12,"4,248","123,819",9%,,91%,,,"823,219 ha ",USD 743.8 million,0.4% of the GDP.,"10 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",6.6 kha/year,23 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,IMN,13KHa,23,36,291,,,,,,0 ha ,,,,0 kha/year,,,[]
8,ISR,30KHa,1,112,"1,890",46%,,54%,,,0 ha ,USD 741.1 million,0.3% of the GDP.,"13 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.4284 kha/year,4 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,ITA,9MHa,31,"14,386","89,811",92%,1%,7%,,,"788,079 ha ",USD 15.0 billion,0.8% of the GDP.,"258 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5.7 kha/year,641 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
10,JAM,745.5KHa,,,,72%,26%,2%,,,0 ha ,USD 64.1 million,0.5% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.06 kha/year,47 million metric tons of carbon stocks,7.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,JPN,26MHa,72,"22,316","257,182",39%,20%,41%,,,"421,688 ha ",USD 39.0 billion,0.7% of the GDP.,"375 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",24 kha/year,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,JEY,2KHa,13,0,27,,,,,,0 ha ,,,,0 kha/year,,,[]
13,JOR,2KHa,0,0,8,52%,,48%,,,0 ha ,USD 129.4 million,0.5% of the GDP.,"8 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,2 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,KAZ,4MHa,2,488,"23,877",73%,,27%,,,0 ha ,USD 173.2 million,0.1% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,137 million metric tons of carbon stocks,0.18% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,KEN,3MHa,6,"12,617","100,418",95%,,5%,,,0 ha ,USD 365.1 million,1.2% of the GDP.,"18 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5.4 kha/year,634 million metric tons of carbon stocks,14.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,KIR,,,,,,,,,,,,,,,,,
17,PRK,5MHa,43,"8,424","13,683",72%,14%,14%,,,0 ha ,USD 456.0 million,2.9% of the GDP.,"14 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,152 million metric tons of carbon stocks,16.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,KOR,5MHa,54,"9,853","27,177",14%,56%,30%,,,"381,192 ha ",USD 8.2 billion,0.8% of the GDP.,"101 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",21 kha/year,419 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,KWT,,,,,,,,,,,,,,,,,
0,KGZ,675KHa,4,13,465,,93%,7%,,,0 ha ,USD 8.7 million,0.2% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2.02 kha/year,56 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,LAO,19MHa,84,"191,031","337,964",93%,6%,1%,,,"154,633 ha ",USD 164.2 million,2.1% of the GDP.,"8 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"1,064 million metric tons of carbon stocks",70.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,LVA,4MHa,56,"26,996","185,696",81%,,19%,,,"3,434,153 ha ",USD 1.7 billion,6.5% of the GDP.,"41 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",35.546 kha/year,285 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,LBN,65KHa,6,100,"1,772",92%,,8%,,,0 ha ,USD 155.2 million,0.4% of the GDP.,"6 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,2 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,LSO,6KHa,0,16,205,65%,,35%,,,0 ha ,USD 18.5 million,0.8% of the GDP.,,,This country has 3 million metric tons of carbon stocks in living forest biomass.,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,LBR,9MHa,98,"111,882","108,378",96%,4%,,"141,920 ha",91%,0 ha ,USD 159.7 million,15.2% of the GDP.,"3 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",30 kha/year,583 million metric tons of carbon stocks,89.8% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,LBY,7KHa,0,3,410,,,100%,,,0 ha ,USD 45.9 million,0.1% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,6 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,LIE,9.2KHa,,,,74%,22%,4%,,,0 ha ,,,,0 kha/year,This country has 1 million metric tons of carbon stocks in living forest biomass.,,[]
8,LTU,2MHa,37,"12,710","122,553",73%,1%,26%,,,"1,066,947 ha ",USD 915.8 million,2.4% of the GDP.,"29 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",15.8 kha/year,167 million metric tons of carbon stocks,19.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,LUX,100KHa,39,330,"2,700",67%,,33%,,,"51,535 ha ",USD 139.2 million,0.3% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,9 million metric tons of carbon stocks,0.03% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
10,MKD,790.9KHa,,,,89%,,11%,,,0 ha ,USD 60.9 million,0.7% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,60 million metric tons of carbon stocks,0.42% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,MDG,17MHa,29,"318,464","405,045",74%,24%,2%,,,"1,000 ha ",USD 401.5 million,4.3% of the GDP.,"45 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",28 kha/year,"1,606 million metric tons of carbon stocks",53.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,MWI,2MHa,16,"15,899","10,299",60%,27%,13%,,,0 ha ,USD 52.5 million,0.8% of the GDP.,"3 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3 kha/year,140 million metric tons of carbon stocks,37.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
13,MYS,29MHa,90,"493,384","2,579,982",68%,23%,9%,"88,815 ha",27%,"5,118,451 ha ",USD 5.7 billion,2.0% of the GDP.,"210 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",134.242 kha/year,"2,787 million metric tons of carbon stocks",33.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,MDV,6KHa,26,3,5,,,,,,0 ha ,,,,0 kha/year,,"According to FAO data, 0.17% of GHG emissions in this country came from land-use change and forestry in 2011.",[]
15,MLI,25KHa,0,214,5,97%,,3%,,,0 ha ,USD 423.1 million,4.4% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",67 kha/year,106 million metric tons of carbon stocks,20.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,MLT,124Ha,0,0,15,,,100%,,,0 ha ,,,,0 kha/year,,,[]
17,MHL,,,,,,,,,,,,,,,,,
18,MTQ,75KHa,67,140,547,95%,,5%,,,0 ha ,USD 0.0 million,0.00% of the GDP.,,"
                    In 2010, the rate of reforestation was 0 kha/year
                  ",8 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,MRT,33Ha,3,0,0,88%,,12%,,,0 ha ,USD 2.2 million,0.05% of the GDP.,,"
                    In 2010, the rate of reforestation was 0.25 kha/year
                  ",9 million metric tons of carbon stocks,4.7% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
0,MUS,71KHa,38,531,"3,010",53%,,47%,,,0 ha ,,,,0.061 kha/year,This country has 3 million metric tons of carbon stocks in living forest biomass.,,[]
1,MYT,,,,,,,,,,,,,,,,,
2,MEX,53MHa,27,"130,716","633,320",50%,50%,,,,"713,821 ha ",USD 7.0 billion,0.6% of the GDP.,"43 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"1,993 million metric tons of carbon stocks",3.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,FSM,6.3KHa,,,,3%,75%,22%,,,0 ha ,,,,,20 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,MDA,353KHa,11,189,"6,285",100%,,,,,0 ha ,USD 29.1 million,0.5% of the GDP.,"6 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,31 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,MCO,,,,,,,,,,,,,,,,,
6,MNG,,,,,,,,,,,,,,,,,
7,MNE,626.9KHa,,,,86%,13%,1%,,,0 ha ,USD 17.9 million,0.5% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.32 kha/year,56 million metric tons of carbon stocks,4.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,MSR,,,,,,,,,,,,,,,,,
9,MAR,,,,,,,,,,,,,,,,,
10,MOZ,,,,,,,,,,,,,,,,,
11,MMR,,,,,,,,,,,,,,,,,
12,NAM,,,,,,,,,,,,,,,,,
13,NRU,,,,,,,,,,,,,,,,,
14,NPL,,,,,,,,,,,,,,,,,
15,NLD,596KHa,17,587,"7,071",,,100%,,,"169,129 ha ",USD 3.5 billion,0.5% of the GDP.,"36 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,32 million metric tons of carbon stocks,1.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,ANT,19KHa,46,22,248,,,,,,,,,,,,,[]
17,NCL,1MHa,77,"1,831","5,724",47%,51%,2%,,,0 ha ,USD 4.7 million,0.05% of the GDP.,,"In 2010, the rate of reforestation was 0 kha/year
                  ",60 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,NZL,,,,,,,,,,,,,,,,,
19,NIC,,,,,,,,,,,,,,,,,
0,NER,,,,,,,,,,,,,,,,,
1,NGA,,,,,,,,,,,,,,,,,
2,NIU,,,,,,,,,,,,,,,,,
3,NFK,,,,,,,,,,,,,,,,,
4,MNP,,,,,,,,,,,,,,,,,
5,NOR,,,,,,,,,,,,,,,,,
6,OMN,,,,,,,,,,,,,,,,,
7,PAK,979KHa,1,38,850,75%,,25%,,,0 ha ,USD 1.3 billion,0.6% of the GDP.,"53 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,174 million metric tons of carbon stocks,6.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,PLW,,,,,,,,,,,,,,,,,
9,PSE,,,,,,,,,,,,,,,,,
10,PAN,6MHa,77,"10,557","32,305",98%,,2%,,,"43,413 ha ",USD 92.2 million,0.3% of the GDP.,"5 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,569 million metric tons of carbon stocks,27.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,PNG,42.4MHa,,,,48%,52%,,,,"160,670 ha ",USD 358.3 million,2.8% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"6,110 million metric tons of carbon stocks",86.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,PRY,,,,,,,,,,,,,,,,,
13,PER,78MHa,61,"183,543","191,016",9%,89%,2%,"198,403 ha",95%,"954,984 ha ",USD 1.3 billion,0.8% of the GDP.,"61 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"8,560 million metric tons of carbon stocks",44.7% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,PHL,18.4MHa,,,,74%,11%,15%,,,0 ha ,USD 528.7 million,0.2% of the GDP.,"49 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",97.12 kha/year,676 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,PCN,,,,,,,,,,,,,,,,,
16,POL,10MHa,34,"46,340","504,128",,100%,,,,"14,223,591 ha ",USD 7.1 billion,1.6% of the GDP.,"251 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",48.431 kha/year,823 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,PRT,2MHa,26,"48,714","286,549",71%,1%,28%,,,"575,557 ha ",USD 3.3 billion,1.6% of the GDP.,"63 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,102 million metric tons of carbon stocks,0.12% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,PRI,524KHa,59,707,"6,411",100%,,,,,0 ha ,,,,,,25 million metric tons of carbon stocks,[]
19,QAT,,,,,,,,,,,,,,,,,
0,REU,170KHa,69,622,"3,064",32%,62%,6%,,,0 ha ,USD 36.4 million,0.2% of the GDP.,,"In 2010, the rate of reforestation was 0 kha/year
                  ",6 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,ROU,8MHa,34,"14,444","152,999",88%,4%,8%,,,"2,554,414 ha ",USD 3.1 billion,1.9% of the GDP.,"112 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",23.04 kha/year,616 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,RUS,761MHa,47,"3,302,085","16,229,621",64%,33%,3%,,,"38,788,728 ha ",USD 13.1 billion,0.8% of the GDP.,"600 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",1018.7 kha/year,"32,800 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,RWA,497KHa,21,"2,401","7,096",11%,1%,88%,,,0 ha ,USD 147.8 million,2.5% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,43 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,BLM,621Ha,30,0,1,,,,,,0 ha ,,,,,,,[]
5,SHN,,,,,,,,,,,,,,,,,
6,KNA,,,,,,,,,,,,,,,,,
7,LCA,51KHa,84,40,36,,84%,16%,,,0 ha ,,,,,,,[]
8,MAF,2KHa,38,1,35,100%,,,,,0 ha ,,,,,,,[]
9,SPM,5KHa,25,0,0,100%,,,,,0 ha ,,,,0 kha/year,,,[]
10,VCT,29KHa,75,10,20,100%,,,,,0 ha ,,,,,,,[]
11,WSM,0Ha,0,0,0,81%,,19%,,,0 ha ,USD 1.8 million,0.3% of the GDP.,,,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,SMR,829Ha,14,0,20,,,,,,0 ha ,,,,0 kha/year,,,[]
13,STP,14KHa,89,0,14,50%,50%,,,,0 ha ,,,,0 kha/year,This country has 8 million metric tons of carbon stocks in living forest biomass.,,[]
14,SAU,6Ha,4,0,0,63%,37%,,,,0 ha ,USD 2.7 billion,0.4% of the GDP.,"38 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,6 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,SEN,40KHa,0,293,214,75%,18%,7%,,,0 ha ,USD 161.5 million,1.3% of the GDP.,"14 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",19.061 kha/year,348 million metric tons of carbon stocks,23.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,SRB,3MHa,35,"2,843","35,578",92%,,8%,,,"1,018,418 ha ",USD 400.6 million,1.1% of the GDP.,"36 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.2 kha/year,237 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,SYC,6KHa,36,2,0,83%,5%,12%,,,0 ha ,USD 0.4 million,0.04% of the GDP.,,,This country has 4 million metric tons of carbon stocks in living forest biomass.,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,SLE,6MHa,78,"113,303","45,132",96%,3%,1%,,,0 ha ,USD 225.1 million,7.9% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.343 kha/year,208 million metric tons of carbon stocks,50.1% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,SGP,19KHa,29,39,"1,254",99%,1%,,,,0 ha ,,,,,,0.01% of GHG emissions,[]
0,SVK,2MHa,49,"12,763","52,294",49%,1%,50%,,,"1,389,620 ha ",USD 2.0 billion,2.4% of the GDP.,"62 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",16.43 kha/year,218 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,SVN,1MHa,65,"3,394","3,499",93%,4%,3%,,,"259,649 ha ",USD 788.1 million,1.8% of the GDP.,"25 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.278 kha/year,141 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,SLB,3MHa,98,"11,694","20,261",48%,51%,1%,,,"64,943 ha ",USD 99.3 million,11.5% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,179 million metric tons of carbon stocks,73.1% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,SOM,87KHa,0,103,280,100%,,,,,0 ha ,USD 24.5 million,2.6% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,376 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,ZAF,6MHa,5,"58,902","831,386",71%,10%,19%,,,"1,478,588 ha ",USD 3.7 billion,1.0% of the GDP.,"147 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",50.591 kha/year,807 million metric tons of carbon stocks,0.25% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,SGS,,,,,,,,,,,,,,,,,
6,SSD,16.8MHa,,,,,,,,,0 ha ,USD 395.4 million,0.7% of the GDP.,"23 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,ESP,11MHa,22,"58,671","448,304",84%,,16%,,,"1,812,053 ha ",USD 9.6 billion,0.7% of the GDP.,"162 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",8.86 kha/year,610 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,LKA,3.9MHa,,,,82%,8%,10%,,,"37,184 ha ",,,,0 kha/year,This country has 72 million metric tons of carbon stocks in living forest biomass.,14.7% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,SDN,247.0KHa,,,,61%,7%,32%,,,0 ha ,USD 117.2 million,0.2% of the GDP.,"5 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5940 kha/year,153 million metric tons of carbon stocks,16.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
10,SUR,14MHa,97,"12,699","7,026",8%,91%,1%,,,"113,769 ha ",USD 79.3 million,2.0% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"1,931 million metric tons of carbon stocks",58.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,SJM,,,,,,,,,,,,,,,,,
12,SWZ,467KHa,27,"3,923","60,297",77%,,23%,,,"111,777 ha ",USD 64.5 million,2.0% of the GDP.,"6 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,22 million metric tons of carbon stocks,6.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
13,SWE,28MHa,67,"200,260","1,528,094",42%,9%,49%,,,"21,884,807 ha ",USD 13.0 billion,3.0% of the GDP.,"100 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",172.4 kha/year,"1,114 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
